unit,1172721,"{'position': 1, 'section': 371388, 'lesson': 791928}"
unit,1172722,"{'position': 1, 'section': 371389, 'lesson': 1160434}"
unit,1235376,"{'position': 1, 'section': 388364, 'lesson': 1221966}"
unit,1235412,"{'position': 2, 'section': 388364, 'lesson': 1222003}"
lesson,414777,"{'title': 'for и range()', 'is_public': True, 'language': 'en'}"
lesson,414778,"{'title': 'while', 'is_public': True, 'language': 'en'}"
lesson,588212,"{'title': 'Область видимости', 'is_public': True, 'language': 'ru'}"
lesson,1112154,"{'title': 'операторы сравнения', 'is_public': False, 'language': 'ru'}"
lesson,1120987,"{'title': 'while для обработки ввода', 'is_public': False, 'language': 'ru'}"
lesson,1133855,"{'title': 'sum, min, max', 'is_public': False, 'language': 'ru'}"
lesson,1140054,"{'title': 'Как учиться на курсе', 'is_public': False, 'language': 'ru'}"
lesson,1140055,"{'title': 'Установим программы', 'is_public': False, 'language': 'ru'}"
lesson,1140056,"{'title': 'python как калькулятор', 'is_public': False, 'language': 'ru'}"
lesson,1140280,"{'title': 'переменные', 'is_public': False, 'language': 'ru'}"
lesson,1140281,"{'title': 'программа в файле, print()', 'is_public': False, 'language': 'ru'}"
lesson,1140282,"{'title': 'ввод данных, input()', 'is_public': False, 'language': 'ru'}"
lesson,1140283,"{'title': 'задачи', 'is_public': False, 'language': 'ru'}"
lesson,1140284,"{'title': 'задачи посложнее', 'is_public': False, 'language': 'ru'}"
lesson,1142086,"{'title': 'математические фукции', 'is_public': False, 'language': 'ru'}"
lesson,1144810,"{'title': 'f-строки', 'is_public': False, 'language': 'ru'}"
lesson,1154755,"{'title': 'def', 'is_public': False, 'language': 'ru'}"
lesson,1154756,"{'title': 'PEP-8', 'is_public': False, 'language': 'ru'}"
lesson,1154853,"{'title': 'функции с параметрами', 'is_public': False, 'language': 'ru'}"
lesson,1159165,"{'title': 'возвращаем значение', 'is_public': False, 'language': 'ru'}"
lesson,1159166,"{'title': 'значение по умолчанию', 'is_public': False, 'language': 'ru'}"
